pair,symbol,ts,column,live_value,reference_value,abs_diff,rel_diff_bps
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T05:00:00+00:00,volume,304935.0,40739.0,264196.0,64850.87999214512
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T12:00:00+00:00,volume,254807.0,0.0,254807.0,
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-07T09:00:00+00:00,volume,244722.0,1738.0,242984.0,1398066.743383199
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-03T20:00:00+00:00,volume,240733.0,0.0,240733.0,
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T13:00:00+00:00,volume,236352.0,1143.0,235209.0,2057821.5223097112
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T11:00:00+00:00,volume,228501.0,0.0,228501.0,
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-03T00:00:00+00:00,volume,225574.0,0.0,225574.0,
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-05T18:00:00+00:00,volume,221904.0,772.0,221132.0,2864404.1450777203
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T21:00:00+00:00,volume,227586.0,24516.0,203070.0,82831.62016642193
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-11T06:00:00+00:00,volume,186864.0,0.0,186864.0,
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-03T19:00:00+00:00,volume,167595.0,0.0,167595.0,
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-13T18:00:00+00:00,volume,159488.0,0.0,159488.0,
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-03T12:00:00+00:00,volume,126942.0,0.0,126942.0,
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-07T10:00:00+00:00,volume,117187.0,100.0,117087.0,11708700.0
hourly_live_vs_execution_1m_aggregate,ADA/USD:USD,2026-05-07T11:00:00+00:00,volume,111976.0,746.0,111230.0,1491018.7667560321
hourly_live_vs_execution_1m_aggregate,AEVO/USD:USD,2026-05-21T11:00:00+00:00,open,0.029249999672174454,0.02652999944984913,0.002720000222325325,1025.254534010476
hourly_live_vs_execution_1m_aggregate,AEVO/USD:USD,2026-05-04T17:00:00+00:00,open,0.027739999815821648,0.027790000662207603,5.000084638595581e-05,17.992387619462477
