canonical_key,display_arity,structural_depth,groups_used,regime_families_used,location_families_used,all_families_used
(*)|(dist_ema200_atr>-0.0036118401)|(bollinger_band_width>-0.017880378&prior_range>0.00000000000000000000000000000000001&prior_volatility>0.021595811&up_down_semivol_ratio_tanh<=0.34499395),5,5,location|regime,compression|context|path_structure,context,compression|context|path_structure
(*)|(dist_prior_day_low<=0.015384567&pullback_depth<=1.0829461)|(range_24h_pct<=0.057657078&range_expansion_ratio>-0.9453811),4,4,location|regime,compression|volatility_term_structure,context,compression|context|volatility_term_structure
(*)|(pullback_depth>1.0829461)|(range_24h_pct<=0.057657078&range_expansion_ratio>-0.9453811),3,3,location|regime,compression|volatility_term_structure,context,compression|context|volatility_term_structure
(*)|(*)|(prior_volatility<=0.078395553&range_24h_pct>0.057657078&up_down_semivol_ratio_tanh>0.24666589),3,3,regime,compression|context|path_structure,,compression|context|path_structure
(*)|(zscore_price_200<=-1.7365055)|(prior_volatility>0.078395553&range_24h_pct>0.057657078),3,3,location|regime,compression|context,context,compression|context
(*)|(zscore_price_200>-1.7365055)|(prior_volatility>0.078395553&range_24h_pct>0.057657078&up_down_semivol_ratio_tanh<=-0.20341159),4,4,location|regime,compression|context|path_structure,context,compression|context|path_structure
(*)|(*)|(range_24h_pct<=0.035248518&rolling_range_20>-0.73273581),2,2,regime,compression,,compression
(*)|(bars_in_high_vol_state_log_norm<=-0.4862245&dist_range_mid_atr<=0.01902258)|(prior_range<=0.0075875688&range_24h_pct>0.05138272),4,4,location|regime,compression|context,context,compression|context
(*)|(bars_in_high_vol_state_log_norm>-0.4862245&dist_range_mid_atr<=0.01902258)|(prior_range<=0.0075875688&range_24h_pct>0.05138272),4,4,location|regime,compression|context,context,compression|context
(*)|(dist_range_mid_atr>0.01902258)|(prior_range<=0.0075875688&range_24h_pct>0.05138272),3,3,location|regime,compression|context,context,compression|context
(*)|(distance_to_ema<=0.49171966&zscore_price_50<=-0.67557925)|(prior_range>0.0075875688&range_24h_pct>0.05138272),4,4,location|regime,compression|context,context,compression|context
(*)|(distance_to_ema<=0.49171966&zscore_price_50>-0.67557925)|(prior_range>0.0075875688&range_24h_pct>0.05138272),4,4,location|regime,compression|context,context,compression|context
(*)|(loc_prior_bar_pos_24<=-0.45541885)|(ema_slope_norm>0.080114216&prior_volatility<=0.12982818&range_24h_pct>0.025123537),4,4,location|regime,compression|context|trend,context,compression|context|trend
