within_leaf_mean_ic,within_leaf_positive_ic_fraction,within_leaf_mean_top_quantile_spread,within_leaf_mean_edge_uplift,within_leaf_hit_lift,within_leaf_valid_folds,within_leaf_future_edge_learnability_score,learnability_definition,canonical_key
0.19534957470755607,1.0,0.014127357260281706,0.007259469311013572,0.029910043851878523,4,0.8945835050398802,within_leaf_future_edge,(*)|(dist_rolling_7d_high<=0.2352515)|(mark_perp_dislocation>0.013444711)
0.1861543405762002,1.0,0.011931220230893321,0.005842810890895734,0.04195035733461909,4,0.9117653299538482,within_leaf_future_edge,(*)|(*)|(mark_perp_dislocation>0.011959689&symbol_minus_mkt_ret_1h<=0.059477568)
0.18874152887161189,1.0,0.011381228201895011,0.005669470386527165,0.0462904598785476,4,0.9180548531348515,within_leaf_future_edge,(*)|(*)|(mark_perp_dislocation>0.010023953&symbol_minus_mkt_ret_1h<=0.057007242)
0.20202136501806417,1.0,0.012994376595552876,0.007694510546157452,0.03579115455623254,4,0.9035035502708257,within_leaf_future_edge,(*)|(dist_rolling_7d_high<=0.23860937)|(carry_adj_ret_self_z_10h>-0.62805933&mark_perp_dislocation>0.009236699)
0.1113191219782878,0.75,0.007428937672684603,0.005276914807478997,-0.02230477461388565,4,0.810170385029042,within_leaf_future_edge,(*)|(dist_prior_day_high<=0.021294232&loc_session_pos_48<=0.54915679)|(mark_perp_dislocation>-0.00025751453)
0.13633764501720014,1.0,0.00723937951942678,0.004610804656916201,0.0005191320254282344,4,0.8464817138105696,within_leaf_future_edge,(*)|(zscore_price_200>-0.69913286)|(asset_atr_level_pct<=0.35615012&asset_vol_level_pct>0.22011814&mark_vs_perp_bps>-1.8396939)
0.16535931712511603,1.0,0.008785965905550752,0.005814618186942656,-0.0007752109504759325,4,0.8487336824696469,within_leaf_future_edge,(*)|(dist_prior_day_high<=0.014738994)|(asset_atr_level_pct<=0.52849203&mark_vs_perp_bps>0.132984&ob_depth_mkt_resid>-0.67913288)
0.17340974037018564,1.0,0.009041788499198622,0.00576334858378703,0.008225207431942536,4,0.8610263406158101,within_leaf_future_edge,(*)|(dist_prior_day_high<=0.071885064)|(asset_ret_vs_universe_4h<=-0.41179234&mark_vs_perp_bps>-0.68840599&symbol_minus_mkt_ret_1h<=0.14165902)
0.12554655449117386,1.0,0.0074157026797110025,0.005044264293440319,0.0015347002038388347,4,0.8494394010173889,within_leaf_future_edge,(*)|(*)|(mark_vs_perp_bps>-0.14106786&range_24h_pct<=0.068897523&up_down_semivol_ratio_tanh>0.6905151)
0.10646469842427449,1.0,0.005522664984920266,0.0026240485738075183,0.007973118905740664,4,0.832927377820891,within_leaf_future_edge,(*)|(*)|(crowded_short_3d>-0.11305439&mark_perp_dislocation>0.0021634393&symbol_minus_mkt_ret_1h<=-0.059560284&up_down_semivol_ratio_tanh<=0.70183915)
0.11012398608726068,1.0,0.00570774260730919,0.003713159355980179,0.008090169145614293,4,0.8509530204387104,within_leaf_future_edge,(*)|(loc_prev_week_range_pos_24>0.43705052)|(mark_perp_dislocation>0.0046748323&xasset_ob_liquidity_peer_resid>-1.8214097)
