cell_key,bucket,config_id,rank,k_tp,sl_as_tp_pct,base_atr_window,tp_base_pct,tp_abs_lo_pct,sl_abs_lo_pct,mode,cell_auc,cell_auc_bound,cell_tp_sep,cell_timeout,cell_bind,cell_ap_lift,cell_tp_over_sl,cell_brier,cell_ece,cell_monotonicity,cell_ic_std_time,cell_ic_std_asset,cell_ic_payoff,cell_ic_label,cell_n
TF_long_H4,TF_long,CFG4E5636E0BA,1,1.25,0.6,840,0.01,0.005,0.005,atr_norm,0.6251,0.5203,0.12889,0.4138107090433339,0.5862,1.376,2.1845,0.29916,0.35416,0.4444,0.05023,0.04109,0.05412,-0.04281,15669
TF_long_H4,TF_long,CFG6F52B9041F,2,1.25,0.4,672,0.01,0.005,0.005,atr_norm,0.6206,0.5352,0.13187,0.3831883316274309,0.6168,1.3436,2.1973,0.2979,0.3486,0.5556,0.05144,0.02476,0.03455,-0.01697,15632
TF_long_H4,TF_long,CFGDAFE1D7391,3,1.25,0.4,504,0.01,0.005,0.005,atr_norm,0.6114,0.534,0.12614,0.3543887353599158,0.6456,1.3121,2.1981,0.29784,0.33956,0.5556,0.06245,0.02605,0.04023,-0.01219,15198
TF_long_H4,TF_long,CFG93489E34E5,4,1.25,0.6,672,0.01,0.005,0.005,atr_norm,0.6152,0.5179,0.12988,0.3995649948822927,0.6004,1.3279,2.1447,0.2996,0.3492,0.5556,0.05901,0.02585,0.05685,-0.03821,15632
TF_long_H4,TF_long,CFG99102C1741,5,1.25,0.4,336,0.01,0.005,0.005,atr_norm,0.5995,0.5384,0.11835,0.3147378832838773,0.6853,1.27,2.198,0.29719,0.32791,0.4444,0.05246,0.02403,0.04968,0.00435,15165
TF_long_H4,TF_long,CFG0D6C75B2B4,6,1.25,0.6,504,0.01,0.005,0.005,atr_norm,0.6051,0.5152,0.12248,0.3720884326885116,0.6279,1.2953,2.1131,0.29976,0.34031,0.6667,0.05588,0.01616,0.0534,-0.03801,15198
TF_long_H4,TF_long,CFG7EF13BA4CE,7,1.0,0.4,672,0.015,0.005,0.005,atr_norm,0.6001,0.5206,0.09079,0.4038645608997367,0.5961,1.2924,2.4467,0.29855,0.36864,0.4444,0.05721,0.02282,0.02836,-0.04705,16716
TF_long_H4,TF_long,CFGF4E8AE33FD,8,1.5,0.6,840,0.01,0.005,0.005,atr_norm,0.6017,0.4999,0.0989,0.4397197101275678,0.5603,1.3096,2.3476,0.30026,0.37387,0.5556,0.05427,0.03698,0.04045,-0.07859,16697
TF_long_H4,TF_long,CFGFCA5A7D46B,9,1.25,0.6,840,0.012,0.005,0.005,atr_norm,0.6017,0.4999,0.0989,0.4397197101275678,0.5603,1.3096,2.3476,0.30026,0.37387,0.5556,0.05427,0.03698,0.04045,-0.07859,16697
TF_long_H4,TF_long,CFGABBD3421C9,10,1.6,0.6,672,0.015,0.005,0.005,atr_norm,0.5955,0.5028,0.10372,0.5706852166292381,0.4293,1.3482,2.3309,0.29766,0.41852,0.6667,0.04767,0.04043,-0.02921,-0.07028,18257
TF_long_H8,TF_long,CFG4E5636E0BA,1,1.25,0.6,840,0.01,0.005,0.005,atr_norm,0.595,0.508,0.11245,0.2835439805949189,0.7165,1.249,2.1767,0.28847,0.28767,0.5556,0.06338,0.03031,0.08996,-0.03731,15666
TF_long_H8,TF_long,CFG6F52B9041F,2,1.25,0.4,672,0.01,0.005,0.005,atr_norm,0.5943,0.5213,0.10922,0.2556458320005118,0.7444,1.2347,2.2115,0.28735,0.28282,0.5556,0.062,0.02346,0.05762,-0.01481,15631
TF_long_H8,TF_long,CFGDAFE1D7391,3,1.25,0.4,504,0.01,0.005,0.005,atr_norm,0.5893,0.5226,0.1164,0.2323332017370706,0.7677,1.2244,2.2465,0.28723,0.27554,0.5556,0.07145,0.02481,0.06202,-0.00912,15198
TF_long_H8,TF_long,CFG93489E34E5,4,1.25,0.6,672,0.01,0.005,0.005,atr_norm,0.5862,0.5053,0.10744,0.268888746721259,0.7311,1.2159,2.1293,0.2884,0.28106,0.4444,0.06502,0.01925,0.09021,-0.03541,15631
TF_long_H8,TF_long,CFG99102C1741,5,1.25,0.4,336,0.01,0.005,0.005,atr_norm,0.5845,0.5324,0.10594,0.1944609297725024,0.8055,1.2021,2.2364,0.28679,0.26731,0.4444,0.06148,0.02545,0.0749,0.01217,15165
TF_long_H8,TF_long,CFG0D6C75B2B4,6,1.25,0.6,504,0.01,0.005,0.005,atr_norm,0.5802,0.5047,0.11458,0.2460192130543492,0.754,1.2038,2.1465,0.28834,0.27333,0.3333,0.06741,0.01718,0.08453,-0.03427,15198
