canonical_key,display_arity,structural_depth,groups_used,regime_families_used,location_families_used,all_families_used
(*)|(*)|(mkt_ret_eq_24h>-0.60238343&range_24h_pct>0.051489912&return_autocorr_48>0.35802677&xasset_mkt_depth_z<=0.9535718&xasset_mkt_depth_z>0.061353903),5,5,regime,compression|cross_asset|cross_asset_orderbook|momentum,,compression|cross_asset|cross_asset_orderbook|momentum
(*)|(*)|(mkt_ret_eq_24h>-0.60238343&range_24h_pct>0.051489912&xasset_mkt_depth_z>0.9535718),3,3,regime,compression|cross_asset|cross_asset_orderbook,,compression|cross_asset|cross_asset_orderbook
(*)|(*)|(premium_index_z<=0.62890267&prior_range<=1.0440722&true_range_percentile>-0.41913974&xasset_mkt_spread_bps<=17.839426),4,4,regime,context|cross_asset_orderbook|mark_index|volatility,,context|cross_asset_orderbook|mark_index|volatility
(*)|(*)|(premium_index_z>0.62890267&prior_range<=1.0440722&xasset_mkt_spread_bps<=17.839426),3,3,regime,context|cross_asset_orderbook|mark_index,,context|cross_asset_orderbook|mark_index
(*)|(zscore_price_200<=0.60723001)|(direction_entropy_20<=-0.57717472&prior_range<=1.0440722&xasset_mkt_spread_bps>17.839426),4,4,location|regime,context|cross_asset_orderbook|path_structure,context,context|cross_asset_orderbook|path_structure
(*)|(dist_prior_day_high<=0.075681008&loc_pullback_depth_24<=0.33870947&zscore_price_200<=0.60723001)|(direction_entropy_20>-0.57717472&prior_range<=1.0440722&xasset_mkt_spread_bps>17.839426),6,6,location|regime,context|cross_asset_orderbook|path_structure,context|path_structure,context|cross_asset_orderbook|path_structure
(*)|(dist_prior_day_high<=0.075681008&loc_pullback_depth_24>0.33870947&zscore_price_200<=0.60723001)|(direction_entropy_20>-0.57717472&prior_range<=1.0440722&xasset_mkt_spread_bps>17.839426),6,6,location|regime,context|cross_asset_orderbook|path_structure,context|path_structure,context|cross_asset_orderbook|path_structure
(*)|(dist_prior_day_high>0.075681008&zscore_price_200<=0.60723001)|(direction_entropy_20>-0.57717472&prior_range<=1.0440722&xasset_mkt_spread_bps>17.839426),5,5,location|regime,context|cross_asset_orderbook|path_structure,context,context|cross_asset_orderbook|path_structure
(*)|(zscore_price_200>0.60723001)|(direction_entropy_20<=0.42042354&prior_range<=1.0440722&xasset_mkt_spread_bps>17.839426),4,4,location|regime,context|cross_asset_orderbook|path_structure,context,context|cross_asset_orderbook|path_structure
(*)|(zscore_price_200>0.60723001)|(direction_entropy_20>0.42042354&prior_range<=1.0440722&xasset_mkt_spread_bps>17.839426),4,4,location|regime,context|cross_asset_orderbook|path_structure,context,context|cross_asset_orderbook|path_structure
(*)|(loc_bb_channel_pos_48<=0.53095067)|(prior_range>1.0440722),2,2,location|regime,context,compression,compression|context
(*)|(loc_bb_channel_pos_48>0.53095067)|(prior_range>1.0440722),2,2,location|regime,context,compression,compression|context
(*)|(dist_range_mid_atr<=0.000036218837&dist_weekly_vwap>-0.10725368)|(range_24h_pct<=0.044293374&range_expansion_ratio<=0.16311009),4,4,location|regime,compression|volatility_term_structure,context,compression|context|volatility_term_structure
(*)|(dist_range_mid_atr>0.000036218837&dist_weekly_vwap>-0.10725368)|(range_24h_pct<=0.044293374&range_expansion_ratio<=0.16311009),4,4,location|regime,compression|volatility_term_structure,context,compression|context|volatility_term_structure
(*)|(dist_weekly_vwap>-0.10725368)|(range_24h_pct<=0.044293374&range_expansion_ratio>0.16311009),3,3,location|regime,compression|volatility_term_structure,context,compression|context|volatility_term_structure
(*)|(dist_weekly_vwap>-0.10725368)|(mark_index_basis<=0.00031242298&mkt_ret_eq_24h<=-0.13954581&range_24h_pct>0.044293374&range_expansion_ratio<=-0.19824342),5,5,location|regime,compression|cross_asset|mark_index|volatility_term_structure,context,compression|context|cross_asset|mark_index|volatility_term_structure
(*)|(dist_weekly_vwap<=0.031554502&dist_weekly_vwap>-0.10725368)|(mark_index_basis<=0.00031242298&mkt_ret_eq_24h>-0.13954581&range_24h_pct>0.044293374&range_expansion_ratio<=-0.19824342),6,6,location|regime,compression|cross_asset|mark_index|volatility_term_structure,context,compression|context|cross_asset|mark_index|volatility_term_structure
(*)|(dist_weekly_vwap>0.031554502)|(mark_index_basis<=0.00031242298&mkt_ret_eq_24h>-0.13954581&range_24h_pct>0.044293374&range_expansion_ratio<=-0.19824342),5,5,location|regime,compression|cross_asset|mark_index|volatility_term_structure,context,compression|context|cross_asset|mark_index|volatility_term_structure
(*)|(dist_vwap_atr<=-0.021800414&dist_weekly_vwap>-0.10725368&loc_initial_balance_pos_48<=0.58323354)|(mark_index_basis<=0.00031242298&range_24h_pct>0.044293374&range_expansion_ratio>-0.19824342),6,6,location|regime,compression|mark_index|volatility_term_structure,context,compression|context|mark_index|volatility_term_structure
(*)|(dist_vwap_atr>-0.021800414&dist_weekly_vwap>-0.10725368&loc_initial_balance_pos_48<=0.58323354)|(mark_index_basis<=0.00031242298&range_24h_pct>0.044293374&range_expansion_ratio>-0.19824342),6,6,location|regime,compression|mark_index|volatility_term_structure,context,compression|context|mark_index|volatility_term_structure
(*)|(dist_weekly_vwap>-0.10725368&loc_initial_balance_pos_48>0.58323354)|(mark_index_basis<=0.00031242298&premium_index<=-0.00014111999&range_24h_pct>0.044293374&range_expansion_ratio>-0.19824342),6,6,location|regime,compression|mark_index|volatility_term_structure,context,compression|context|mark_index|volatility_term_structure
(*)|(dist_weekly_vwap>-0.10725368&loc_initial_balance_pos_48>0.58323354)|(mark_index_basis<=0.00031242298&premium_index>-0.00014111999&range_24h_pct>0.044293374&range_expansion_ratio>-0.19824342),6,6,location|regime,compression|mark_index|volatility_term_structure,context,compression|context|mark_index|volatility_term_structure
(*)|(dist_weekly_vwap>-0.10725368)|(mark_index_basis>0.00031242298&range_24h_pct>0.044293374),3,3,location|regime,compression|mark_index,context,compression|context|mark_index
(*)|(*)|(direction_entropy_20>0.20231421&mkt_ret_eq_24h<=-0.60238343&perp_index_basis_z<=-0.42204633),3,3,regime,cross_asset|mark_index|path_structure,,cross_asset|mark_index|path_structure
(*)|(*)|(direction_entropy_20>0.20231421&mkt_ret_eq_24h<=-0.60238343&perp_index_basis_z>-0.42204633),3,3,regime,cross_asset|mark_index|path_structure,,cross_asset|mark_index|path_structure
(*)|(dist_ema50_atr<=0.0006759229&distance_to_ema<=-0.6673528)|(mkt_ret_eq_24h>-0.60238343&true_range_percentile<=0.14851958),4,4,location|regime,cross_asset|volatility,context,context|cross_asset|volatility
