,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,blended_mu,blended_std,blended_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
vp_profile_concentration,0.0050236094,0.0019668688,0.012830876,16.666666,5.1854496,53.568695,263.29373,86.16069,804.5849,0.03467362,0.011618965,0.10347392,0.1015884,0.05249389,0.19659816,91.0,0.0,0.94330925,0.2536358,0.22321428,0.16666667,0.0,67.0,43.5,0.22030327,133.0
ker_16,0.0020307694,0.00065182406,0.0063268975,10.333333,1.5986105,66.79412,110.092064,39.57853,306.23328,0.014302347,0.005146589,0.039746158,0.034269806,0.013640616,0.08609726,177.0,0.0,0.94330925,0.06240859,0.7083333,0.0,0.16680174,174.5,16.333334,0.21974814,134.0
zscore_price_200,0.0040131486,0.0011765982,0.013688073,17.166666,5.2095,56.568665,226.7222,66.12854,777.3187,0.029435778,0.0086075235,0.10066368,0.08257779,0.029433142,0.23168072,88.5,0.0,0.94330925,0.1890725,0.46130952,0.0,0.0,94.5,30.166666,0.21931726,135.0
lr_24h,0.0035046253,0.0011726072,0.010474436,9.0,3.2145503,25.197926,173.484,49.23143,611.3309,0.025312467,0.0076033194,0.084268585,0.05965285,0.021319358,0.16691227,121.0,0.0,0.94330925,0.15658046,0.5297619,0.0,0.0,134.5,26.333334,0.21855974,136.0
ema_slope_norm,0.002957634,0.0012574005,0.006956891,12.833333,3.8908725,42.32841,160.8389,65.62075,394.22214,0.02135016,0.009337636,0.048816353,0.05465055,0.02693951,0.110866256,158.0,0.0,0.94330925,0.121630505,0.51488096,0.0,0.4565416,127.5,27.166666,0.2184441,137.0
vol_price_spread,0.0046563847,0.002156563,0.0100539215,14.833333,4.0173235,54.76974,252.1422,119.85069,530.4574,0.034189038,0.01797552,0.06502679,0.09911465,0.05320723,0.1846312,133.0,0.0,0.94330925,0.23017202,0.21130952,0.16666667,0.27395627,86.0,44.166668,0.21811981,138.0
momentum_accel,0.0030008925,0.0011230153,0.008018907,11.833333,2.9107082,48.107803,145.59238,40.87006,518.6471,0.019673117,0.005297192,0.07306353,0.05361119,0.027113616,0.10600429,139.0,0.0,0.94330925,0.124394506,0.5952381,0.0,0.0,155.0,22.666666,0.2172265,139.0
dip_velocity,0.0023603158,0.00066469464,0.008381427,9.666667,2.4944382,37.461117,131.66852,39.34827,440.59363,0.01707365,0.0053122872,0.05487458,0.045428917,0.019577257,0.10541754,145.0,0.0,0.94330925,0.08346492,0.68154764,0.0,0.0,160.0,17.833334,0.21629262,140.0
z_breakout_dn_24,0.0014835611,0.00052401755,0.0042001526,4.8333335,1.462494,15.9734745,83.49783,26.317501,264.91455,0.010457054,0.0030572454,0.035767484,0.024041459,0.011229922,0.051468905,188.0,0.0,0.94330925,0.027444772,0.8035714,0.0,0.0,183.0,11.0,0.21598747,141.0
ret2h,0.0038829104,0.0013801962,0.010923805,13.666667,2.6246693,71.16241,195.13318,71.48865,532.62946,0.026497105,0.010116556,0.06940076,0.07375659,0.036560994,0.14879341,124.0,0.0,0.94330925,0.18075095,0.4642857,0.0,0.0,129.5,30.0,0.21548444,142.0
ts_12,0.0024817507,0.0009486092,0.006492754,9.0,3.3166249,24.422419,134.28456,54.902733,328.44165,0.017724955,0.0077686748,0.040441137,0.045236677,0.027367957,0.062309995,173.0,0.0,0.94330925,0.09122399,0.6279762,0.0,0.15229848,142.0,20.833334,0.21478216,143.0
ret24h_G_VOL_1,0.0023099363,0.00080864294,0.00659847,8.0,2.5166116,25.43102,129.79608,42.8324,393.32422,0.01691534,0.005192919,0.05509978,0.044592187,0.02209189,0.090008736,163.0,0.0,0.94330925,0.080245934,0.63095236,0.0,0.25066367,146.0,20.666666,0.21440655,144.0
atr_change_rate,0.0021939878,0.0006522158,0.007380353,10.0,2.7080128,36.92745,124.07904,33.08436,465.34402,0.01588227,0.0044162795,0.05711743,0.043799177,0.01887534,0.101633556,149.0,0.0,0.94330925,0.07283741,0.6964286,0.0,0.0,161.5,17.0,0.21416773,145.0
flow_persistence,0.0041122735,0.0016243214,0.01041099,16.666666,4.229526,65.675865,222.93755,68.79149,722.4898,0.02819588,0.008683696,0.091551766,0.08479775,0.042101175,0.1707947,115.0,0.0,0.94330925,0.19540608,0.3809524,0.0,0.1765612,93.0,34.666668,0.21153949,146.0
compression_ratio,0.003942712,0.0013689436,0.011355457,12.833333,2.7938426,58.94908,221.80176,72.20045,681.3811,0.028784834,0.008828044,0.09385619,0.08473515,0.044142503,0.16265605,113.0,0.0,0.94330925,0.18457198,0.3392857,0.16666667,0.0,99.5,37.0,0.21133602,147.0
trend_age_hours,0.0047328747,0.0017094666,0.013103564,16.5,4.1129875,66.19276,257.0541,79.92333,826.75256,0.033537745,0.011331741,0.09925928,0.0914201,0.031086653,0.26884958,88.5,0.0,0.94330925,0.23505934,0.22619048,0.16666667,0.0,74.0,43.333332,0.21083027,148.0
zr_3h_minus_zr_12h,0.0030630243,0.0012566001,0.0074662715,5.0,2.5166116,9.933992,121.30673,63.45183,231.9133,0.021161377,0.01030809,0.043441985,0.04020517,0.026423499,0.061174925,172.0,0.0,0.94330925,0.12836441,0.55654764,0.0,0.0,171.0,24.833334,0.20973733,149.0
convexity_bis_t,0.0039998284,0.0015771393,0.010144081,9.666667,3.5901098,26.028297,212.84836,83.91856,539.8618,0.030711124,0.012847686,0.07341191,0.07814424,0.03804957,0.16048859,128.0,0.0,0.94330925,0.18822141,0.33630952,0.0,0.43544263,87.0,37.166668,0.20937128,150.0
ffd_diff_4_05,0.0030796959,0.0013848852,0.006848601,8.0,2.1602468,29.626244,148.73679,56.725178,389.9967,0.022164913,0.00971902,0.050548654,0.05005229,0.022195565,0.11287083,159.0,0.0,0.94330925,0.12942964,0.54761904,0.0,0.0,139.5,25.333334,0.20809107,151.0
wick_body_ratio,0.004331414,0.0013682358,0.0137119265,15.5,2.9297326,82.00407,234.23952,77.37437,709.12573,0.029683776,0.00934967,0.09424146,0.09142392,0.0446429,0.18722647,98.0,0.0,0.94330925,0.20940806,0.26785713,0.16666667,0.0,93.0,41.0,0.20713872,152.0
ffd_rv_12_05,0.0020979594,0.00048078859,0.009154614,7.1666665,1.3437096,38.22337,118.891174,33.68949,419.57034,0.015841331,0.004420025,0.056775194,0.038637508,0.016288662,0.09165007,144.0,0.0,0.94330925,0.06670169,0.68154764,0.0,0.0,159.5,17.833334,0.20707284,153.0
