symbol,status,error,dist_vwap_norm_nan_before,dist_vwap_norm_nan_after,vwap_zone_1d_atr_nan_before,vwap_zone_1d_atr_nan_after,vwap_zone_7d_atr_nan_before,vwap_zone_7d_atr_nan_after,dist_vwap_12_atr_nan_before,dist_vwap_12_atr_nan_after,dist_vwap_24_atr_nan_before,dist_vwap_24_atr_nan_after,dist_vwap_96_atr_nan_before,dist_vwap_96_atr_nan_after,trapped_longs_12_nan_before,trapped_longs_12_nan_after,trapped_longs_24_nan_before,trapped_longs_24_nan_after,trapped_longs_96_nan_before,trapped_longs_96_nan_after,dist_stack_nan_before,dist_stack_nan_after,oi_rel_vol_2h_nan_before,oi_rel_vol_2h_nan_after,oi_rel_vol_4h_nan_before,oi_rel_vol_4h_nan_after,oi_rel_vol_8h_nan_before,oi_rel_vol_8h_nan_after,unwind_score_nan_before,unwind_score_nan_after,innovation_z_x_zr_1h_nan_before,innovation_z_x_zr_1h_nan_after,innovation_z_x_zr_3h_nan_before,innovation_z_x_zr_3h_nan_after
ASTER_USD:USD,updated,,0.8367341114694216,0.8367341114694216,0.8367626494677664,0.8367626494677664,0.8367626494677664,0.8367626494677664,0.8367341114694216,0.8367341114694216,0.8367341114694216,0.8367341114694216,0.8367341114694216,0.8367341114694216,0.8367341114694216,0.8367341114694216,0.8367341114694216,0.8367341114694216,0.8367341114694216,0.8367341114694216,0.8783139750577894,0.8783139750577894,0.8617048600211181,0.8617048600211181,0.8467509488884449,0.8467509488884449,0.8395879113039011,0.8395879113039011,0.8391027653320396,0.8391027653320396,0.9740018835078907,0.9740018835078907,0.9740018835078907,0.9740018835078907
ASTR_USD:USD,updated,,0.5058645586598556,0.5058645586598556,0.49456351131531634,0.49456351131531634,0.48617333980194627,0.48617333980194627,0.5058645586598556,0.5058645586598556,0.5058645586598556,0.5058645586598556,0.5058645586598556,0.5058645586598556,0.5058645586598556,0.5058645586598556,0.5058645586598556,0.5058645586598556,0.5058645586598556,0.5058645586598556,0.5424502725378842,0.5424502725378842,0.775919636996661,0.775919636996661,0.6791758226078023,0.6791758226078023,0.5856282640335607,0.5856282640335607,0.48857053166290915,0.48857053166290915,0.999857310008276,0.999857310008276,0.999857310008276,0.999857310008276
ATH_USD:USD,updated,,0.6297765474729603,0.6297765474729603,0.6226135098884165,0.6226135098884165,0.6208441539910391,0.6208441539910391,0.6297765474729603,0.6297765474729603,0.6297765474729603,0.6297765474729603,0.6297765474729603,0.6297765474729603,0.6297765474729603,0.6297765474729603,0.6297765474729603,0.6297765474729603,0.6297765474729603,0.6297765474729603,0.6712707970662938,0.6712707970662938,0.7715247852515624,0.7715247852515624,0.7126794326645929,0.7126794326645929,0.6659056533774721,0.6659056533774721,0.6230986558602779,0.6230986558602779,0.9987728660711738,0.9987728660711738,0.9987728660711738,0.9987728660711738
ATOM_USD:USD,updated,,0.0,0.0,2.8537998344796096e-05,2.8537998344796096e-05,2.8537998344796096e-05,2.8537998344796096e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04160840158671271,0.04160840158671271,0.19819639850460888,0.1981393225079193,0.19754002454267858,0.197482948545989,0.19756856254102337,0.1975114865443338,0.1996232984218487,0.1995662224251591,0.04357752347250364,0.04357752347250364,0.04354898547415884,0.04354898547415884
AUCTION_USD:USD,updated,,0.6062897748351931,0.6062897748351931,0.5759538825946748,0.5759538825946748,0.5588025455894523,0.5588025455894523,0.6062897748351931,0.6062897748351931,0.6062897748351931,0.6062897748351931,0.6062897748351931,0.6062897748351931,0.6062897748351931,0.6062897748351931,0.6062897748351931,0.6062897748351931,0.6062897748351931,0.6062897748351931,0.6478981764219057,0.6478981764219057,0.7957535458462943,0.7957535458462943,0.7382494791815302,0.7382494791815302,0.6810022545018692,0.6810022545018692,0.5611997374504152,0.5611997374504152,0.5893382038183842,0.5893382038183842,0.5893096658200394,0.5893096658200394
AUD_USD:USD,updated,,0.966981535915071,0.966981535915071,0.9475186210439199,0.9475186210439199,0.868297137638766,0.868297137638766,0.966981535915071,0.966981535915071,0.966981535915071,0.966981535915071,0.966981535915071,0.966981535915071,0.966981535915071,0.966981535915071,0.966981535915071,0.966981535915071,0.966981535915071,0.966981535915071,0.9695214177677578,0.9695214177677578,0.9955480722582118,0.9955480722582118,0.9920378984618019,0.9920378984618019,0.9858451528209812,0.9858451528209812,0.7452412887760053,0.7452412887760053,0.9995148540281384,0.9995148540281384,0.9995148540281384,0.9995148540281384
AVAX_USD:USD,updated,,0.0,0.0,2.8537998344796096e-05,2.8537998344796096e-05,2.8537998344796096e-05,2.8537998344796096e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04160840158671271,0.04160840158671271,0.19928084244171113,0.19922376644502154,0.19788248052281612,0.19782540452612654,0.19756856254102337,0.1975114865443338,0.1996232984218487,0.1995662224251591,0.027738934391141806,0.027738934391141806,0.02771039639279701,0.02771039639279701
AXS_USD:USD,updated,,0.04954196512656602,0.04954196512656602,0.049456351131531635,0.049456351131531635,0.049456351131531635,0.049456351131531635,0.04954196512656602,0.04954196512656602,0.04954196512656602,0.04954196512656602,0.04954196512656602,0.04954196512656602,0.04954196512656602,0.04954196512656602,0.04954196512656602,0.04954196512656602,0.04954196512656602,0.04954196512656602,0.09103621471989955,0.09103621471989955,0.2289032847236095,0.22884620872691988,0.2039325361719129,0.20387546017522332,0.19819639850460888,0.1981393225079193,0.1996232984218487,0.1995662224251591,0.17097114808367342,0.17097114808367342,0.17094261008532863,0.17094261008532863
B3_USD:USD,updated,,0.7537456122827545,0.7537456122827545,0.7252076139379584,0.7252076139379584,0.7026055192488799,0.7026055192488799,0.7537456122827545,0.7537456122827545,0.7537456122827545,0.7537456122827545,0.7537456122827545,0.7537456122827545,0.7537456122827545,0.7537456122827545,0.7537456122827545,0.7537456122827545,0.7537456122827545,0.7537456122827545,0.7868211523643731,0.7868211523643731,0.9114180531377529,0.9114180531377529,0.8708940954881425,0.8708940954881425,0.82434862018778,0.82434862018778,0.7050312491081876,0.7050312491081876,0.9988584800662081,0.9988584800662081,0.9988584800662081,0.9988584800662081
BAND_USD:USD,updated,,0.11263947946691019,0.11263947946691019,0.09192089266858823,0.09192089266858823,0.08290288519163266,0.08290288519163266,0.11263947946691019,0.11263947946691019,0.11263947946691019,0.11263947946691019,0.11263947946691019,0.11263947946691019,0.11263947946691019,0.11263947946691019,0.11263947946691019,0.11263947946691019,0.11263947946691019,0.11263947946691019,0.14922519334493878,0.14922519334493878,0.5637396193031021,0.5637110813047573,0.4303244770411803,0.43026740104449074,0.31691447161896064,0.31685739562227105,0.1996232984218487,0.1995662224251591,0.5476441882366371,0.5476441882366371,0.5476156502382923,0.5476156502382923
