asset,d,n_rows,warmup_bars,K_d,ic_overall_mean,ic_overall_std,ic_event_mean,ic_event_std,ic_nonevent_mean,ic_nonevent_std,ic_ir_event,n_folds_used
ACT/USDT,0.2,7638,3381,3382,0.024072909648629872,0.02245411467502823,0.003987494282959337,0.08113618078166661,0.02767548308967386,0.021341081193258102,0.04914569795371298,4
ACT/USDT,0.3,7638,3381,2275,0.017916544881837068,0.02790677188515796,-0.023376414377508946,0.0798567992008868,0.021605336211050527,0.03649083594993306,-0.29272916418768996,4
ACT/USDT,0.4,7638,3381,1458,0.0183240864090954,0.029131723075587288,-0.01764888323852785,0.07599928910316109,0.019507704125738,0.041041106886053225,-0.2322243170241635,4
ACT/USDT,0.5,7638,3381,927,0.01707265120778927,0.028924039624979123,-0.012412014478313861,0.07639520392913998,0.016717072099624877,0.041398969318959325,-0.16247111961839186,4
ACT/USDT,0.6,7638,3381,590,0.017150440459912,0.027381682401371624,-0.005402265000029601,0.0668891679634074,0.015245118216324065,0.03817754362906326,-0.08076442096305579,4
ACX/USDT,0.2,7035,3381,3382,0.009458109213128257,0.03781500338792212,-0.03248509579973946,0.07872338734705547,0.0384289797400188,0.03401613858743212,-0.4126485976000869,4
ACX/USDT,0.3,7035,3381,2275,0.01027117607356329,0.0261134872653821,-0.028102173286696428,0.059487636692423324,0.03846009981737772,0.0287721716568224,-0.4724035846236953,4
ACX/USDT,0.4,7035,3381,1458,0.009994600316361991,0.01750599648858443,-0.02099129052167876,0.049022917855381945,0.036505284781752675,0.030675262999762656,-0.42819340446869875,4
ACX/USDT,0.5,7035,3381,927,0.010464126770365734,0.011466695908347807,-0.008470288152238777,0.06010968524814673,0.03279602357159835,0.03678615666134687,-0.14091386398643743,4
ACX/USDT,0.6,7035,3381,590,0.010823057791303943,0.010190382310308208,-0.007123790327012403,0.06114631198357744,0.030656543778122415,0.04022583678423723,-0.1165040045656669,4
ADA/USDC,0.2,14107,3381,3382,0.02112993298195662,0.0124976271039007,0.08940588598951887,0.03978793602099465,-0.02389314012685372,0.042592704860318555,2.247060106241312,4
ADA/USDC,0.3,14107,3381,2275,0.017145990752488422,0.011352224215432374,0.07449655728670287,0.03199075468207904,-0.024851038008142003,0.04152498789185506,2.3286901387088905,4
ADA/USDC,0.4,14107,3381,1458,0.01307174822261496,0.011126022457657713,0.060865227457979024,0.030402458017015944,-0.0258231475783423,0.04206767889277123,2.0019837021707154,4
ADA/USDC,0.5,14107,3381,927,0.009561644445661528,0.012596482754611501,0.04956649883742223,0.032875941585586786,-0.02633737156314625,0.04322643621818144,1.5076829723857952,4
ADA/USDC,0.6,14107,3381,590,0.007115775656623507,0.014589945431184987,0.040526906388567485,0.03177208827842056,-0.025286219572825827,0.04359968022347902,1.275550563685881,4
ADA/USDT,0.2,14107,3381,3382,0.021590439312707085,0.012675520846102422,0.0905815409496156,0.03611781964501771,-0.024065704383638944,0.04162089627933129,2.507945920654848,4
ADA/USDT,0.3,14107,3381,2275,0.017593924750977565,0.011540691906775662,0.07587817249060289,0.030440294007196392,-0.027708110317807094,0.04508206310133559,2.4926884733759813,4
ADA/USDT,0.4,14107,3381,1458,0.013438075523667749,0.011420998056553389,0.06285217900603726,0.03160274828732006,-0.02922284226762631,0.045954391077660986,1.9888199736867636,4
ADA/USDT,0.5,14107,3381,927,0.009965270974199126,0.012883110138109912,0.0521861189645629,0.03522143112680746,-0.0301486787627887,0.047483878564118766,1.4816580648020672,4
ADA/USDT,0.6,14107,3381,590,0.007583586558757046,0.014914123552340938,0.04412076304857245,0.03583473475616246,-0.029096398910347508,0.04730385060498631,1.2312289212565228,4
ADX/USDT,0.2,14107,3381,3382,0.04497363567064453,0.0419976297462785,0.12489828652755833,0.05552162290512316,-0.027008816128956777,0.024298422507575183,2.2495431102841636,4
ADX/USDT,0.3,14107,3381,2275,0.040543829244593085,0.03994000935280451,0.12156791202360165,0.04846410271717163,-0.03052851844483893,0.01580918245839098,2.5084114364943497,4
ADX/USDT,0.4,14107,3381,1458,0.035744526950933386,0.037550161283932064,0.11664321582946205,0.042070620676398406,-0.03347873101639786,0.010805803442076423,2.772557456523131,4
ADX/USDT,0.5,14107,3381,927,0.03129253556206399,0.03458861127955278,0.11063785393688243,0.03718104272819843,-0.03536957580070246,0.012554672223765048,2.9756521830228695,4
ADX/USDT,0.6,14107,3381,590,0.02751883734989628,0.032505009408848796,0.10285340597011428,0.032105882497677284,-0.0362264622072101,0.016925213679584102,3.2035687782133535,4
