feature,replay_pre_transform,replay_post_transform,snapshot_post_transform,post_minus_pre,snapshot_minus_replay_post,pre_missing,post_missing,snapshot_missing,abs_snapshot_post_delta
bb_pos_24,2.344789981842041,2.053748846054077,2.053748846054077,-0.29104113578796387,0.0,False,False,False,0.0
beta_24h,0.3179086446762085,0.3179086446762085,0.3179086446762085,0.0,0.0,False,False,False,0.0
blowoff_risk,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0
body_pct,0.69292813539505,-0.8750283122062683,-0.8750283122062683,-1.5679564476013184,0.0,False,False,False,0.0
body_ratio,205.2391815185547,0.10985448211431503,0.10985448211431503,-205.12932703644037,0.0,False,False,False,0.0
body_ratio_15m,2.056929588317871,1.637326955795288,1.637326955795288,-0.419602632522583,0.0,False,False,False,0.0
bollinger_band_width,-0.009700057096779346,-0.009700057096779346,-0.009700057096779346,0.0,0.0,False,False,False,0.0
bounce_signal,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0
breakout_24h,,-69.12779998779297,-69.12779998779297,,0.0,True,False,False,0.0
breakout_confirmed,1.2534544467926025,1.2534544467926025,1.2534544467926025,0.0,0.0,False,False,False,0.0
breakout_min,1.0973738431930542,1.0973738431930542,1.0973738431930542,0.0,0.0,False,False,False,0.0
breakout_soft,0.8351185917854309,0.8351185917854309,0.8351185917854309,0.0,0.0,False,False,False,0.0
breakout_t,1.2534544467926025,1.311779499053955,1.311779499053955,0.05832505226135254,0.0,False,False,False,0.0
btc_ret_4h_pct,0.1547619104385376,-0.9515507221221924,-0.9515507221221924,-1.10631263256073,0.0,False,False,False,0.0
btc_rv_ratio_1h24h_pct,0.009999999776482582,-1.8548029661178589,-1.8548029661178589,-1.8648029658943415,0.0,False,False,False,0.0
btc_rv_ratio_4h24h_pct,0.193452388048172,-1.143506646156311,-1.143506646156311,-1.336959034204483,0.0,False,False,False,0.0
chop_score,0.0,1.0,1.0,1.0,0.0,False,False,False,0.0
choppiness_index_20,57.41850280761719,0.18581467866897583,0.18581467866897583,-57.23268812894821,0.0,False,False,False,0.0
churn,0.19406658411026,0.19406658411026,0.19406658411026,0.0,0.0,False,False,False,0.0
climax,1.3755080699920654,1.3755080699920654,1.3755080699920654,0.0,0.0,False,False,False,0.0
climax_decay,0.8005186915397644,0.8005186915397644,0.8005186915397644,0.0,0.0,False,False,False,0.0
climax_range_12,0.7616810202598572,-0.45040377974510193,-0.45040377974510193,-1.212084800004959,0.0,False,False,False,0.0
climax_range_24,0.4813930094242096,-0.9591261148452759,-0.9591261148452759,-1.4405191242694855,0.0,False,False,False,0.0
climax_vol_12,1.1327513456344604,0.439094603061676,0.439094603061676,-0.6936567425727844,0.0,False,False,False,0.0
climax_vol_24,0.9324800968170166,-0.04985843226313591,-0.04985843226313591,-0.9823385290801525,0.0,False,False,False,0.0
clv,510.1864929199219,2.053748846054077,2.053748846054077,-508.1327440738678,0.0,False,False,False,0.0
clv_collapse,63.870513916015625,2.053748846054077,2.053748846054077,-61.81676506996155,0.0,False,False,False,0.0
clv_mean_2,488.9983215332031,2.053748846054077,2.053748846054077,-486.94457268714905,0.0,False,False,False,0.0
clv_mean_24,292.0827941894531,2.053748846054077,2.053748846054077,-290.02904534339905,0.0,False,False,False,0.0
clv_mean_4,425.1278076171875,2.053748846054077,2.053748846054077,-423.0740587711334,0.0,False,False,False,0.0
clv_pullback,-2.465937852859497,-2.053748846054077,-2.053748846054077,0.4121890068054199,0.0,False,False,False,0.0
clv_t,3.8209967613220215,2.053748846054077,2.053748846054077,-1.7672479152679443,0.0,False,False,False,0.0
coh,60.45408630371094,2.053748846054077,2.053748846054077,-58.40033745765686,0.0,False,False,False,0.0
coherence_24,564.50439453125,2.053748846054077,2.053748846054077,-562.4506456851959,0.0,False,False,False,0.0
comp_to_exp,0.9274181127548218,0.9274181127548218,0.9274181127548218,0.0,0.0,False,False,False,0.0
complexity_regime_24h,0.3318030834197998,0.3318030834197998,0.3318030834197998,0.0,0.0,False,False,False,0.0
compression_score,0.25663861632347107,-0.9892605543136597,-0.9892605543136597,-1.2458991706371307,0.0,False,False,False,0.0
compression_score_G_TREND_0,,-0.9892605543136597,-0.9892605543136597,,0.0,True,False,False,0.0
compression_score_G_TREND_1,,-0.0,-0.0,,0.0,True,False,False,0.0
compression_score_G_VOL_0,,-0.9892605543136597,-0.9892605543136597,,0.0,True,False,False,0.0
compression_score_G_VOL_1,,-0.0,-0.0,,0.0,True,False,False,0.0
convexity_bis_t,0.0005288515239953995,0.0005288515239953995,0.0005288515239953995,0.0,0.0,False,False,False,0.0
convexity_t,-5.404185503721237e-05,-5.404185503721237e-05,-5.404185503721237e-05,0.0,0.0,False,False,False,0.0
convexity_z_t,-0.4101249575614929,-0.4101249575614929,-0.4101249575614929,0.0,0.0,False,False,False,0.0
corr_concentration_24h,0.24100452661514282,-1.4113011360168457,-1.4113011360168457,-1.6523056626319885,0.0,False,False,False,0.0
cs_rank_ret_24h,0.77734375,0.77734375,0.77734375,0.0,0.0,False,False,False,0.0
